pk,name,league,nickname,address,city,state,country,phone,stadium
88,Philadelphia Eagles,2,,,Philadelphia,PA,,,,,,
89,San Francisco 49ers,2,,,San Francisco,CA,,,,,,
90,Seattle Seahawks,2,,,Seattle,WA,,,,,,
91,Tampa Bay Buccaneers,2,,,Tampa,FL,,,,,,
92,Washington Redskins,2,,,Washington,DC,,,,,,
94,University of Florida,8,Gators,,Gainesville,FL,,,,,,
95,Auburn University,8,Tigers,,Auburn,AL,,,,,,
96,University of Alabama,8,Crimson Tide,,Tuscaloosa,AL,,,,,,
97,University of Arkansas,8,Razorbacks,,,,,,,,
98,University of Kentucky,8,Wildcats,,Lexington,KY,,,,,,
99,University of Georgia,8,Bulldogs,,Athens,GA,,,,,,
100,University of Missouri,8,Tigers,,,,,,,,
101,University of South Carolina,8,Gamecocks,,Columbia,SC,,,,,,
102,University of Tennessee,8,Volunteers,,Knoxville,TN,,,,,,
103,Vanderbilt University,8,Commodores,,,,,,,,
104,Louisiana State University,8,Tigers,,Baton Rouge,LA,,,,,,
105,University of Mississippi,8,Rebels,,,,,,,,
106,Mississippi State University,8,Bulldogs,,,,,,,,
107,Texas A&M University,8,Aggies,,,,,,,,
108,Boston College,7,Eagles,,Boston,MA,,,,,,
109,Clemson University,7,Tigers,,Clemson,SC,,,,,,
110,Florida State University,7,Seminoles,,,,,,,,
111,University of Louisville,7,Cardinals,,,,,,,,
112,North Carolina State University,7,Wolfpack,,,,,,,,
113,University of Notre Dame,7,Fighting Irish,,,,,,,,
114,Syracuse University,7,Orange,,Syracuse,NY,,,,,,
115,Wake Forest University,7,Demon Deacons,,Winston-Salem,NC,,,,,,
116,Duke University,7,Blue Devils,,Durham,NC,,,,,,
117,Georgia Tech,7,Yellow Jackets,,Atlanta,GA,,,,,,
118,University of Miami,7,Hurricanes,,Coral Gables,FL,,,,,,
119,University of North Carolina at Chapel Hill,7,Tar Heels,,,,,,,,
120,University of Pittsburgh,7,Panthers,,,,,,,,
121,University of Virginia,7,Cavaliers,,Charlottesville,VA,,,,,,
122,Virginia Tech,7,Hokies,,Blacksburg,VA,,,,,,
123,University of Wisconsin,11,Badgers,,Madison,WI,,,,,,
124,University of Delaware,9,Fightin' Blue Hens,,Newark,DE,,,,,,
125,Western Kentucky University,10,Hilltoppers & Lady Toppers,,Bowling Green,KY,,,,,,
126,Ohio State University,11,Buckeyes,,Columbus,OH,,,,,,
127,University of Nebraska,11,Cornhuskers,,Lincoln,NE,,,,,,
128,Penn State University,11,Nittany Lions,,State College,PA,,,,,,
131,Birmingham Barons,6,,,,,,,,,
132,Chattanooga Lookouts,6,,,,,,,,,
133,Jackson Generals,6,,,,,,,,,
134,Montgomery Biscuits,6,,,Montgomery,AL,,,,,,
135,Tennessee Smokies,6,,,,,,,,,
136,Biloxi Shuckers,6,,,,,,,,,
137,Jacksonville Jumbo Shrimp,6,,,,,,,,,
138,Mississippi Braves,6,,,,,,,,,
139,Mobile BayBears,6,,,,,,,,,
140,Pensacola Blue Wahoos,6,,,,,,,,,
141,Boston Bruins,4,Bruins,,Boston,MA,,,,,,
142,Buffalo Sabres,4,Sabres,,Buffalo,NY,,,,,,
143,Detroit Red Wings,4,Red Wings,,Detroit,MI,,,,,,
144,Florida Panthers,4,Panthers,,Sunrise,FL,,,,,,
145,Montreal Canadiens,4,Canadiens,,Montreal,Quebec,,,,,,
146,Ottawa Senators,4,Senators,,Ottawa,ON,CA,,,,,,
